ID	Speech	action_code	action_only	num_lines_before	num_lines_after	anno_before	anno_after	num_lines_last_mvmt	max_repeated_word	count_uppercase_words	period	comma	semicolon	hyphen	total_words	question	apostrophe	exclamation	big_action_only	speaker_action_only	speaker_big_action_only	speaker_action_code	WRB 	WPSS	WP 	WDT 	VBZ 	VBP 	VBN 	VBG 	VBD 	VB 	UH 	TO 	SYM 	RP 	RBS 	RBR 	RB 	PRPSS	PRP 	POS 	PDT 	NNS 	NNPS 	NNP 	NN 	MD 	LS 	JJS 	JJR 	JJ 	IN 	FW 	EX 	DT 	CD 	CC 	speakerpostn	numcharsonstage	BERNARDO	CORNELIUS	FRANCISCO	GHOST	GUILDENSTERN	HAMLET	HORATIO	KINGCLAUDIUS	LAERTES	LORDPOLONIUS	LUCIANUS	MARCELLUS	OPHELIA	OSRIC	PRINCEFORTINBRAS	QUEENGERTRUDE	REYNALDO	ROSENCRANTZ	VOLTIMAND	Random1	Random2	Random3	Random4	Random5	Random6	Random7	Random8	Random9	Random10	fight_in_general	point	look	run_walk_jog	handle_object	sit_stand_lie_down_kneel	gestures	new_big_actions	neg_big_actions	sortbig	sortany	sortwalk	sortfight	sortpoint	sortlook	sorthandle	sortposture	sortgesture	sortbig_rand	sortany_rand	sortwalk_rand	sortfight_rand	sortpoint_rand	sortlook_rand	sorthandle_rand	sortposture_rand	sortgesture_rand	firstpos	secondpos	thirdpos	fourthpos	fifthpos	sixthpos	seventhpos	eighthpos	ninethpos	tenthpos	eleventhpos	twelfthpos	thirteenthpos	fourteenthpos	fifteenthpos	POS_sentence
478	"Most humbly do I take my leave, my lord."	14	1	0	0	0	0	0	2	1	1	1	0	0	9	0	0	0	1	1	1	14	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0																						1486	1067	4769	2795	2787	1646	2466	3624	4908	4669	0	0	0	0	0	1	0	1	1	-1	-1	1486	1486	1486	1486	1486	-1	1486	833	2577	1486	1486	1486	1486	1486	246	1486	JJS	RB	VBP	PRP	VB	PRP$	NNS	PRP$	NN							JJS RB VBP PRP VB PRP$ NNS PRP$ NN      
479	The time invites you; go; your servants tend.	17	1	0	0	0	0	0	0	0	1	0	2	0	8	0	0	0	1	1	1	17	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						367	2510	1553	3948	4742	2229	3474	945	977	2141	0	0	0	1	0	0	0	0	-1	367	-1	-1	367	367	367	367	367	367	367	2395	325	367	367	367	367	367	367	DT	NN	VBZ	PRP	VB	PRP$	NNS	.								DT NN VBZ PRP VB PRP$ NNS .       
480	"Farewell, Ophelia; and remember well"	17	1	0	1	0	0	0	0	0	0	1	1	0	5	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1																						1985	3364	2233	4358	323	2753	4402	4769	1010	2813	0	0	0	1	0	0	0	0	-1	1985	-1	-1	1985	1985	1985	1985	1985	1985	1985	347	84	1985	1985	1985	1985	1985	1985	NNP	NNP	CC	VB	RB											NNP NNP CC VB RB          
481	What I have said to you.	0	0	1	0	0	0	0	0	1	1	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						1633	4236	3632	2018	2823	1580	3331	4062	2223	1366	0	0	0	0	0	0	0	0	-1	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	1633	WP	PRP	VBP	VBD	TO	PRP$										WP PRP VBP VBD TO PRP$         
482	"Tis in my memory lock''d,"	5	0	0	1	0	0	1	0	0	0	1	0	0	5	0	1	0	1	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0																						4272	4297	1468	4350	4438	3176	4314	3750	2739	2080	0	0	0	0	1	0	0	1	1	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	4272	NNPS	IN	PRP$	NN	NN											NNPS IN PRP$ NN NN          
483	And you yourself shall keep the key of it.	0	0	1	0	0	0	0	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	1																						2110	67	3680	4799	2400	67	1534	3938	236	2406	0	0	0	0	0	0	0	0	-1	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	2110	CC	PRP	PRP	MD	VB	DT	NN	IN	PRP$							CC PRP PRP MD VB DT NN IN PRP$      
484	Farewell.	12	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	0	1	1	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						729	4834	4549	1814	4686	3913	2293	671	532	1940	0	0	0	1	0	0	0	1	1	-1	-1	-1	729	729	729	729	729	729	841	2272	10	729	729	729	729	729	729	.															.              
485	"What is''t, Ophelia, be hath said to you?"	23	1	0	0	0	0	0	0	0	0	2	0	0	8	1	1	0	1	1	1	23	0	0	1	0	1	0	0	0	1	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0																						2569	3646	3694	471	3502	4807	3172	2808	3080	1408	0	0	1	0	0	0	0	0	-1	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	2569	WP	VBZ	RB	VB	NN	VBD	TO	PRP$								WP VBZ RB VB NN VBD TO PRP$       
486	"So please you, something touching the Lord Hamlet."	27	1	0	0	0	0	0	0	0	1	1	0	0	8	0	0	0	1	1	1	27	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	1	0	0	0	0	1	0	0	0	1	0	0																						3537	1208	4623	2454	1958	2053	4186	1218	4035	114	0	0	0	0	0	0	0	1	1	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	3537	RB	VB	JJ	NN	VBG	DT	NNP	NNP								RB VB JJ NN VBG DT NNP NNP       
487	"Marry, well bethought:"	14	1	0	8	0	0	0	0	0	0	1	0	0	3	0	0	0	1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0																						4256	2126	2601	4279	945	175	2595	4247	2684	2533	0	0	0	0	0	1	0	1	1	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	4256	NNP	RB	.													NNP RB .            
488	"Tis told me, he hath very oft of late"	0	0	1	7	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	0	0	0																						472	418	3448	3432	3380	1730	2138	484	472	2269	0	0	0	0	0	0	0	0	-1	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472	472	NNPS	VBD	NNS	PRP	VBZ	RB	RB	IN	JJ							NNPS VBD NNS PRP VBZ RB RB IN JJ      
489	Given private time to you; and you yourself	0	0	2	6	0	0	1	0	0	0	0	1	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	1																						4340	3284	858	4567	4346	1567	468	2681	1308	3107	0	0	0	0	0	0	0	0	-1	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	4340	VBN	JJ	NN	TO	VB	CC	PRP	PRP								VBN JJ NN TO VB CC PRP PRP       
490	Have of your audience been most free and bounteous:	0	0	3	5	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	1	0	0	0	0	1																						4630	740	2478	3617	4561	1811	1910	4312	1642	2385	0	0	0	0	0	0	0	0	-1	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	4630	VBP	IN	PRP$	NN	VBN	RBS	JJ	CC	NN							VBP IN PRP$ NN VBN RBS JJ CC NN      
491	"If it be so, as so ''tis put on me,"	0	0	4	4	0	0	3	0	0	0	2	0	0	10	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0																						120	1905	468	3790	1976	2252	2780	4686	4251	862	0	0	0	0	0	0	0	0	-1	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	120	IN	PRP	VB	RB	IN	RB	VBZ	VBN	RP	NN						IN PRP VB RB IN RB VBZ VBN RP NN     
492	"And that in way of caution, I must tell you,"	0	0	5	3	0	0	4	0	1	0	2	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	1	0	0	0	0	3	0	0	0	0	1																						3227	2441	4602	3249	3673	4138	1690	2542	3713	3731	0	0	0	0	0	0	0	0	-1	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	3227	CC	IN	IN	NN	IN	NN	PRP	MD	VB	NN						CC IN IN NN IN NN PRP MD VB NN     
493	You do not understand yourself so clearly	0	0	6	2	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						1480	3289	1429	4819	1498	11	2769	435	3014	2173	0	0	0	0	0	0	0	0	-1	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	1480	PRP	VBP	RB	VB	PRP	RB	RB									PRP VBP RB VB PRP RB RB        
494	As it behoves my daughter and your honour.	0	0	7	1	0	0	6	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	1																						887	3780	2741	517	4931	942	464	4960	3547	291	0	0	0	0	0	0	0	0	-1	887	887	887	887	887	887	887	887	887	887	887	887	887	887	887	887	887	887	IN	PRP	VBZ	PRP$	NN	CC	PRP$	NN								IN PRP VBZ PRP$ NN CC PRP$ NN       
495	What is between you? give me up the truth.	0	0	8	0	0	0	7	0	0	1	0	0	0	9	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	2	0	0	1	0	0																						2168	335	3148	2158	209	3042	2314	3476	4825	2402	0	0	0	0	0	0	0	0	-1	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	2168	WP	VBZ	IN	PRP	VBP	PRP	IN	DT	NN							WP VBZ IN PRP VBP PRP IN DT NN      
496	"He hath, my lord, of late made many tenders"	23	1	0	1	0	0	8	0	0	0	2	0	0	9	0	0	0	1	1	1	23	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0	0	0																						4996	3989	2439	1692	3121	1910	2399	1656	4751	3291	0	0	1	0	0	0	0	0	-1	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	4996	PRP	VBD	PRP$	NN	IN	RB	VBN	JJ	NNS							PRP VBD PRP$ NN IN RB VBN JJ NNS      
497	Of his affection to me.	0	0	1	0	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0																						4016	3778	157	131	890	4854	3474	4254	586	2088	0	0	0	0	0	0	0	0	-1	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	4016	IN	PRP$	NN	TO	MD											IN PRP$ NN TO MD          
498	"Affection! pooh! you speak like a green girl,"	0	0	0	2	0	0	1	0	0	0	1	0	0	8	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	0	0																						1013	695	1753	4242	531	2270	1259	4184	3040	1324	0	0	0	0	0	0	0	0	-1	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	1013	NNP	NN	PRP	VBP	IN	DT	JJ	NN								NNP NN PRP VBP IN DT JJ NN       
499	Unsifted in such perilous circumstance.	0	0	1	1	0	0	0	0	0	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	2	1	0	0	0	0	0																						2252	4341	3466	4457	784	2569	1669	867	4030	3372	0	0	0	0	0	0	0	0	-1	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	2252	NNP	IN	JJ	JJ	NN											NNP IN JJ JJ NN          
500	"Do you believe his tenders, as you call them?"	0	0	2	0	0	0	1	1	0	0	1	0	0	9	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0																						772	1682	4630	1200	330	2718	793	2611	4607	1210	0	0	0	0	0	0	0	0	-1	772	772	772	772	772	772	772	772	772	772	772	772	772	772	772	772	772	772	VBP	PRP	VB	PRP$	NN	IN	PRP	VBP	.							VBP PRP VB PRP$ NN IN PRP VBP .      
501	"I do not know, my lord, what I should think."	0	0	0	0	0	0	2	0	1	1	2	0	0	10	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0																						3438	4609	3301	4965	3863	3430	4914	2227	3717	317	0	0	0	0	0	0	0	0	-1	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	3438	PRP	VBP	RB	VB	PRP$	JJ	WP	PRP	MD	POS						PRP VBP RB VB PRP$ JJ WP PRP MD POS     
502	"Marry, I''ll teach you: think yourself a baby;"	17	1	0	4	0	0	0	0	0	0	1	1	0	8	0	1	0	1	1	1	17	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	0																						1965	2356	1415	1565	2687	4489	1083	1197	1701	294	0	0	0	1	0	0	0	0	-1	1965	-1	-1	1965	1965	1965	1965	1965	1965	1965	1188	180	1965	1965	1965	1965	1965	1965	NNP	NNP	VBP	PRP	VB	PRP	DT	NN								NNP NNP VBP PRP VB PRP DT NN       
503	"That you have ta''en these tenders for true pay,"	0	0	1	3	0	0	0	0	0	0	1	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	1	2	0	0	1	0	0																						3967	3722	3982	3093	4889	1082	3214	3398	4551	1394	0	0	0	0	0	0	0	0	-1	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	3967	IN	PRP	VBP	VBN	DT	NNS	IN	JJ	NN							IN PRP VBP VBN DT NNS IN JJ NN      
504	Which are not sterling. Tender yourself more dearly;	0	0	2	2	0	0	1	0	0	1	0	1	0	8	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0																						2661	2020	4602	1533	2644	3133	105	3575	4818	343	0	0	0	0	0	0	0	0	-1	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	2661	WDT	VBP	RB	RB	VB	PRP	RBR	UH								WDT VBP RB RB VB PRP RBR UH       
505	"Or--not to crack the wind of the poor phrase,"	0	0	3	1	0	0	2	2	0	0	1	0	2	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	2	0	0																						3292	1808	1130	2908	1237	3504	1527	452	4826	2215	0	0	0	0	0	0	0	0	-1	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	3292	NNP	TO	VB	DT	NN	IN	DT	JJ	NN							NNP TO VB DT NN IN DT JJ NN      
506	Running it thus--you''ll tender me a fool.	0	0	4	0	0	0	3	0	0	1	0	0	2	7	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0																						502	4812	1762	988	1870	4121	3963	1025	1995	3720	0	0	0	0	0	0	0	0	-1	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	502	VBG	PRP	RB	VB	PRP	DT	NN									VBG PRP RB VB PRP DT NN        
507	"My lord, he hath importuned me with love"	17	1	0	1	0	0	4	0	0	0	1	0	0	8	0	0	0	1	1	1	17	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0																						1716	3290	4769	2152	2844	2748	2278	342	593	4967	0	0	0	1	0	0	0	0	-1	1716	-1	-1	1716	1716	1716	1716	1716	1716	1716	387	332	1716	1716	1716	1716	1716	1716	PRP$	NN	PRP	VBZ	VBN	PRP	IN	NN								PRP$ NN PRP VBZ VBN PRP IN NN       
508	In honourable fashion.	0	0	1	0	0	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0																						4855	1817	1979	2417	758	4990	3903	4737	4965	1030	0	0	0	0	0	0	0	0	-1	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	4855	IN	JJ	NN													IN JJ NN            
509	"Ay, fashion you may call it; go to, go to."	24	1	0	0	0	0	1	2	0	1	2	1	0	10	0	0	0	1	1	1	24	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0																						3127	4414	1823	1304	743	4648	4132	3339	1219	1701	0	0	0	0	0	0	1	1	1	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	3127	JJ	NN	PRP	MD	VB	PRP	VB	RB	VB	.						JJ NN PRP MD VB PRP VB RB VB .     
510	"And hath given countenance to his speech, my lord,"	13	1	0	1	0	0	0	0	0	0	2	0	0	9	0	0	0	1	1	1	13	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1																						1437	199	4534	3163	4402	4626	4474	1414	612	4737	0	0	0	0	0	1	0	1	1	-1	-1	1437	1437	1437	1437	1437	-1	1437	853	657	1437	1437	1437	1437	1437	98	1437	CC	NN	VBN	NN	TO	PRP$	NN	PRP$	NN							CC NN VBN NN TO PRP$ NN PRP$ NN      
511	With almost all the holy vows of heaven.	0	0	1	0	0	0	0	0	0	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	0	0	1	2	0	0	1	0	0																						3422	5000	4982	1513	4943	3529	910	2933	4867	1059	0	0	0	0	0	0	0	0	-1	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	3422	IN	RB	PDT	DT	JJ	NNS	IN	NN								IN RB PDT DT JJ NNS IN NN       
512	"Ay, springes to catch woodcocks. I do know,"	13	1	0	20	0	0	1	0	1	1	2	0	0	8	0	0	0	1	1	1	13	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0																						3658	1162	930	1697	3134	1933	3147	3541	2209	3869	0	0	0	0	0	1	0	1	1	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	3658	NNP	VBZ	TO	VB	NN	PRP	VBP	VBN								NNP VBZ TO VB NN PRP VBP VBN       
513	"When the blood burns, how prodigal the soul"	0	0	1	19	0	0	0	1	0	0	1	0	0	8	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	2	0	0																						3804	4582	3261	1482	1937	3245	4971	1058	1041	4886	0	0	0	0	0	0	0	0	-1	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	3804	WRB	DT	NN	NN	WRB	JJ	DT	NN								WRB DT NN NN WRB JJ DT NN       
514	"Lends the tongue vows: these blazes, daughter,"	0	0	2	18	0	0	1	0	0	0	2	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0																						534	875	1737	2083	809	483	1197	86	2054	4463	0	0	0	0	0	0	0	0	-1	534	534	534	534	534	534	534	534	534	534	534	534	534	534	534	534	534	534	VB	DT	NN	VBD	DT	NNS	NNS									VB DT NN VBD DT NNS NNS        
515	"Giving more light than heat, extinct in both,"	0	0	3	17	0	0	2	0	0	0	2	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	0	0	0	0	0																						794	4370	225	809	4884	3629	4803	2827	4096	571	0	0	0	0	0	0	0	0	-1	794	794	794	794	794	794	794	794	794	794	794	794	794	794	794	794	794	794	VBG	RBR	JJ	IN	NN	JJ	IN	NN								VBG RBR JJ IN NN JJ IN NN       
516	"Even in their promise, as it is a-making,"	0	0	4	16	0	0	3	0	0	0	2	0	1	8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0																						1342	1058	1148	3537	134	1992	1239	1920	509	4953	0	0	0	0	0	0	0	0	-1	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	1342	RB	IN	PRP$	NN	IN	PRP	VBZ	NN								RB IN PRP$ NN IN PRP VBZ NN       
517	You must not take for fire. From this time	0	0	5	15	0	0	4	0	0	1	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	2	1	0	0	0	0	2	0	0	1	0	0																						1108	2285	3863	982	2351	4722	3069	1261	3173	1790	0	0	0	0	0	0	0	0	-1	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	1108	PRP	MD	RB	VB	IN	NN	IN	DT	NN							PRP MD RB VB IN NN IN DT NN      
518	Be somewhat scanter of your maiden presence;	14	1	6	14	0	0	5	0	0	0	0	1	0	7	0	0	0	1	1	1	14	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0																						4743	3867	1173	3634	3934	4668	4120	906	503	977	0	0	0	0	0	1	0	1	1	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	4743	VB	RB	NN	IN	PRP$	NN	NN									VB RB NN IN PRP$ NN NN        
519	Set your entreatments at a higher rate	0	0	7	13	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	0	1	0	0	1	0	0																						568	1850	142	2335	2311	4034	4428	4892	2858	4083	0	0	0	0	0	0	0	0	-1	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	568	VB	PRP$	NNS	IN	DT	JJR	NN									VB PRP$ NNS IN DT JJR NN        
520	"Than a command to parley. For Lord Hamlet,"	14	1	8	12	0	0	1	0	0	1	1	0	0	8	0	0	0	1	1	1	14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	2	0	0	1	0	0																						4527	4819	4275	2054	220	4421	818	3382	3789	2990	0	0	0	0	0	1	0	1	1	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	4527	IN	DT	NN	TO	NN	IN	NNP	NNP								IN DT NN TO NN IN NNP NNP       
521	"Believe so much in him, that he is young"	0	0	9	11	0	0	0	0	0	0	1	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	2	0	1	0	0	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0																						3789	2541	2465	1699	4283	766	4081	2811	4130	2608	0	0	0	0	0	0	0	0	-1	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	3789	VB	RB	RB	IN	NN	IN	PRP	VBZ	JJ							VB RB RB IN NN IN PRP VBZ JJ      
522	And with a larger tether may he walk	17	1	10	10	0	0	1	0	0	0	0	0	0	8	0	0	0	1	1	1	17	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	1	0	1	0	0	1	0	1																						602	1196	2298	1022	3343	904	4221	2445	1271	3462	0	0	0	1	0	0	0	0	-1	602	-1	-1	602	602	602	602	602	602	602	1325	511	602	602	602	602	602	602	CC	IN	DT	JJR	NN	MD	PRP	VB								CC IN DT JJR NN MD PRP VB       
523	"Than may be given you: in few, Ophelia,"	27	1	11	9	0	0	0	0	0	0	2	0	0	8	0	0	0	1	1	1	27	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	2	1	0	0	0	0	0																						3418	462	3398	297	403	2886	2898	3520	1220	1428	0	0	0	0	0	0	0	1	1	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	3418	NNP	MD	VB	VBN	JJ	IN	JJ	NNS								NNP MD VB VBN JJ IN JJ NNS       
524	"Do not believe his vows; for they are brokers,"	27	1	12	8	0	0	0	0	0	0	1	1	0	9	0	0	0	1	1	1	27	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0																						4452	1280	4920	651	4959	3259	1513	3226	1031	1524	0	0	0	0	0	0	0	1	1	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	4452	VBP	RB	VB	PRP$	NN	IN	PRP	VBP	VBN							VBP RB VB PRP$ NN IN PRP VBP VBN      
